sentence,lang,ARG0,ARG1,ARG2,neg,time
what is googs current price,en-US,0,1,1,0,1
what is rate of euro to u. s. d.,en-US,0,1,1,0,0
where is norman reedus from,en-US,0,1,1,0,0
what's the dow jones at today,en-US,0,1,1,0,1
design the chemical compounds necessary to create sugar that doesn't cause diabetes or weight gain but doesn't provide a chemical taste,en-US,1,1,1,0,0
answer this mathematical question,en-US,1,1,0,0,0
what are the latest prices of the stocks,en-US,0,1,1,0,0
when was the world war two started,en-US,0,1,0,0,1
tell me about agra,en-US,1,1,1,0,0
how old is adele,en-US,0,0,0,0,0
i need to figure out this percentage,en-US,1,1,0,0,0
michael jackson family background,en-US,1,1,1,0,0
for how many years was abraham lincoln president of united states,en-US,1,1,1,0,0
more stock price,en-US,0,1,1,0,0
history of abraham lincoln,en-US,0,0,0,0,0
what is now stock price of tata,en-US,0,1,1,0,1
how much is twenty argentinian pesos in pounds,en-US,0,1,1,0,0
latest iphone,en-US,0,0,0,0,0
where is the closest barber,en-US,0,1,1,0,0
give me the exchange rate for the us dollar and the euro,en-US,0,1,1,0,0
olly how many stars has swat received on i. m. d. b.,en-US,1,1,1,0,0
what is the exchange rate of currency in u. k.,en-US,0,1,1,0,0
what is five divided by one,en-US,0,1,1,0,0
what is the exchange rate for pounds and u. s. d.,en-US,0,1,1,0,0
do you know jessica snout's phone number,en-US,0,1,0,0,0
is starbucks stock up or down from last quarter,en-US,0,1,1,0,0
what is the birthday of hemingway,en-US,0,1,0,0,1
how did charlize theron learn how to speak english,en-US,1,1,0,0,0
stocks f. flat,en-US,0,0,0,0,0
how many kids jackie chan does have,en-US,1,1,1,0,0
how do you subtract numbers,en-US,1,1,1,0,0
what is the square root of four,en-US,0,1,1,0,0
explain,en-US,1,0,0,0,0
what is starbuck's stock worth,en-US,0,1,1,0,0
what is twenty percent of one hundred and fifty,en-US,0,1,1,0,0
how large is alaska,en-US,0,1,0,0,0
how many beatles are still alive,en-US,1,1,1,0,0
what size is a sperm whale,en-US,0,1,1,0,0
how many countries are north of alaska,en-US,0,1,1,0,0
stock,en-US,0,0,0,0,0
what's the exchange rates between u. s. a. and china,en-US,0,1,1,0,0
which pole is colder south or north,en-US,0,1,1,0,0
where was steve jobs born,en-US,0,1,0,0,0
what is the stock price of sensex right now,en-US,0,1,1,0,1
where are the rockies located,en-US,0,1,1,0,0
answer for three times four,en-US,0,1,1,0,0
what does this word mean,en-US,0,1,1,0,0
how many records did prince make,en-US,1,1,0,0,0
how old is carrie underwood,en-US,0,0,0,0,0
i want to know the stocks of amazon,en-US,1,1,0,0,0
how much is b. p. in u. s. d.,en-US,0,1,1,0,0
describe item xy,en-US,1,1,0,0,0
what color are chairs,en-US,0,1,1,0,0
can i have stock rate list of ola and uber,en-US,0,1,1,0,0
how many euros are in a dollar,en-US,0,1,1,0,0
help microphone,en-US,1,1,0,0,0
have bing's stocks dropped,en-US,0,1,0,1,0
which river in germany is the biggest,en-US,0,1,1,0,0
how tall is tom cruise,en-US,0,1,1,0,0
where is yosemite park,en-US,0,1,1,0,0
what is three times seven,en-US,0,1,1,0,0
book me a flight to mars next year,en-US,1,1,0,0,0
when did beyonce and jay z. get married,en-US,0,1,1,0,1
tell me about price of stock for innova,en-US,1,1,1,0,0
name the capital of nigeria,en-US,1,1,1,0,0
how old is jennifer anniston,en-US,0,0,0,0,0
can you tell me how many stomachs a cow has,en-US,0,1,1,0,0
where was kelly clarkson born,en-US,0,1,0,0,0
tell me the simple interest of seven with interest in two year,en-US,0,1,1,0,1
what's the stock price of this item,en-US,0,1,1,0,0
what's the average elevation of the united states,en-US,0,1,1,0,0
what's trump been on about this week,en-US,0,0,0,0,1
ask my adviser,en-US,1,1,1,0,0
exchange rate i will get with foreign currency,en-US,0,1,1,0,0
which country's have a border to india,en-US,0,1,1,0,0
what's the answer to the universe,en-US,0,1,1,0,0
convert one pound to us dollar,en-US,1,1,1,0,0
find a definition,en-US,1,1,1,0,0
what's kim kardashian's measurements,en-US,0,1,0,0,0
intel company stock price,en-US,0,1,1,0,0
currency exchange rate,en-US,0,1,1,0,0
how far away is seattle,en-US,0,1,0,0,0
did angelina jolie leave brad pitt,en-US,1,1,0,1,0
give me the stock price of apple,en-US,0,1,1,0,0
what is the rate of inr,en-US,0,1,1,0,0
how old is cher,en-US,0,0,0,0,0
what is channing tatum's birthday,en-US,0,1,0,0,1
how many people live in oxford now,en-US,1,0,0,0,1
olly how many meetings did mahatma gandhi undertake,en-US,1,1,1,0,0
what is the residing place of cricketer dhoni,en-US,1,1,0,0,0
what was the last movie that brad pitt starred in,en-US,0,1,1,0,0
what's the exchange rate for samsung,en-US,0,1,1,0,0
where is stonehenge,en-US,0,1,1,0,0
with all of the information you can gather on the internet could you please provide me with the best probable explanation of who killed president kennedy,en-US,1,1,1,0,0
what is sean connery's birthday,en-US,0,1,0,0,1
what state is david lynch from,en-US,0,1,1,0,0
what's three plus three hundred and fifty five,en-US,0,1,1,0,0
what does it look like,en-US,1,1,0,0,0
show me popular exchange rates,en-US,1,1,1,0,0
three times two equals six,en-US,0,1,0,0,0
topography melbourne,en-US,0,0,0,0,0
how tall is roraima mount,en-US,0,1,1,0,0
how deep is the pacific ocean,en-US,0,1,0,0,0
what is the dollar exchange rate,en-US,0,1,1,0,0
what is one dollar in euros,en-US,0,1,1,0,0
look up the number of people living in miami florida,en-US,1,1,1,0,0
what is twenty four times twenty four,en-US,0,1,1,0,0
how old is marian carey,en-US,0,0,0,0,0
tell me how brexit is going to affect e. u. citizens in the long and mid terms,en-US,1,1,1,0,1
current price of coca-cola stock,en-US,0,1,1,0,1
what dance move is the most attractive,en-US,0,1,1,0,0
how tall is lebron james,en-US,0,1,1,0,0
what's the dow jones at today,en-US,0,1,1,0,1
how much does nestle company cost,en-US,0,1,1,0,0
none,en-US,0,0,0,0,0
mention the stock price of hdfc,en-US,0,1,1,0,0
who was the first president of united states,en-US,1,1,1,0,0
location,en-US,0,0,0,0,0
where is stockton california,en-US,0,1,1,0,0
is pink recording a new album,en-US,1,1,0,1,0
what is the capital of mexico,en-US,1,1,1,0,0
what color is a dragon fruit,en-US,0,1,1,0,0
what's the closing price of apple,en-US,0,1,1,0,1
the following question asks you to analyze teacher goals and actions intended,en-US,1,1,1,0,0
give me the age of chuck norris,en-US,0,0,0,0,0
when was last academy award winning movie,en-US,0,1,1,0,0
show geographic details of pyramids,en-US,1,1,0,0,0
meaning of word,en-US,0,1,1,0,0
how many times was richard nixon married,en-US,0,1,0,0,0
what is the yen us dollar exchange rate,en-US,0,1,1,0,0
please tell me about the historic facts about india,en-US,1,1,1,0,0
did the stock prices of google go up or down,en-US,0,1,1,0,0
tell me about martin luther king junior,en-US,1,1,1,0,0
calculate distance from boston to new york,en-US,1,1,1,0,0
alexa what is google,en-US,0,0,0,0,0
define this,en-US,1,1,0,0,0
search on his interests,en-US,1,1,1,0,0
where do the rocky mountains start,en-US,0,1,0,0,0
how many mega pixel is listed in the description of the canon,en-US,0,1,1,0,0
how much does elton john pay for his suits,en-US,1,1,0,0,0
exchange rate for converting ten dollar to euro,en-US,0,1,1,0,0
how tall is the empire state building,en-US,0,1,1,0,0
what is the rate for g. b. p. to u. s. d.,en-US,0,1,1,0,0
what year did michael jackson die,en-US,0,1,0,0,1
tell me about barack obama,en-US,1,1,1,0,0
was einstein married,en-US,0,1,0,1,0
how much is amazon stock,en-US,0,1,1,0,0
what is the current stock price of rolls royce,en-US,0,1,1,0,1
describe the general topography of central park,en-US,1,1,0,0,0
alexa how large is the universe in miles,en-US,0,1,0,0,0
birth date for movie star keanu reeves,en-US,0,1,1,0,1
explain to me how gravity works,en-US,1,1,1,0,0
in this country what is the exchange rate,en-US,0,1,1,0,0
what is the name of a lake that has dried up over the years,en-US,0,1,1,0,0
show me share price of amazon,en-US,1,1,1,0,0
origin of word,en-US,0,1,1,0,0
olly how many rivers are there in europe,en-US,0,1,1,0,0
how expensive is google stock,en-US,0,1,1,0,0
show various plants in earth,en-US,1,1,0,0,0
is it true the gym is seven miles away,en-US,0,1,0,1,0
what is the longest river in spain,en-US,0,1,1,0,0
who is the current us treasury secretary,en-US,1,1,1,0,1
tell me the stock rate of hyundai,en-US,1,1,1,0,0
if i have five u. s. d. how much is that in aud,en-US,0,1,1,0,0
alexa tell me the exchange rate of ten dollar to euro,en-US,1,1,1,0,0
what is the result of one hundred minus fifty,en-US,0,1,1,0,0
how big is the stashable cinch bag and what does it look like,en-US,1,1,1,0,0
dollar to euro exchange rate,en-US,0,1,1,0,0
try following these steps to select the correct answer,en-US,1,1,1,0,0
what is the net worth of the celebrity,en-US,0,1,1,0,0
what is the price of ford stock,en-US,0,1,1,0,0
geo info,en-US,0,0,0,0,0
how is iron made,en-US,0,1,0,0,0
dollar rate of philippiness peso,en-US,0,1,1,0,0
do you know actor surya,en-US,1,1,0,1,0
is the largest ocean in the world the pacific,en-US,0,1,1,1,0
how many euros can i get for one dollar,en-US,0,1,1,0,0
angelina has a birthday when,en-US,0,1,0,0,1
resolve this thirty twelve,en-US,1,1,0,0,0
tvs stock price,en-US,0,1,1,0,0
what does this word means,en-US,0,1,1,0,0
what is one hundred and twenty three times one hundred and twenty three,en-US,0,1,1,0,0
foreign exchange rates,en-US,0,1,1,0,0
find me info on,en-US,1,1,1,0,0
what's the cheapest price for zoella's first book,en-US,0,1,1,0,0
how old is barack obaba,en-US,0,0,0,0,0
can you help me find the answer to this question,en-US,0,1,1,0,0
turn on notification for all news on the stock market,en-US,1,1,1,0,0
when was richard nixon born,en-US,0,1,0,0,1
what's bob scrote's net worth,en-US,0,1,1,0,0
what was the first movie of morgan freeman,en-US,0,0,0,0,0
what's going to be the cure for cancer,en-US,0,0,1,0,0
send me the stock market updates for today,en-US,1,1,1,0,1
what is clint eastwood doing these days,en-US,1,1,0,0,1
tell me background family of selena gomez,en-US,1,1,1,0,0
how far away is,en-US,0,0,0,0,0
tell exchange rate of pound,en-US,1,1,1,0,0
how is the current stock price looking for charmin,en-US,0,1,1,0,1
what's the capital of new york,en-US,1,1,1,0,0
could you please give me the birthday of mahatma gandhiji,en-US,0,1,0,0,1
what is the dollar price in inr,en-US,0,1,1,0,0
what is the current dollar to euro conversion rate,en-US,0,1,1,0,1
how many rupies are in a dollar,en-US,0,1,1,0,0
what is the google stock at,en-US,0,1,1,0,0
i've got dollars for the month how much can i spend every day this month,en-US,1,1,1,0,0
browsing centers,en-US,0,0,0,0,0
convert the american dollar to the euro,en-US,1,1,1,0,0
how old is j. k. rowling,en-US,0,0,0,0,0
what is the exchange between dollar and british pound,en-US,0,1,1,0,0
what is the euro to dollar exchange rate,en-US,0,1,1,0,0
what color is a basketball,en-US,0,1,1,0,0
what is burmuda triangle,en-US,0,0,0,0,0
how much is starbuck's stock these days,en-US,0,1,1,0,1
show me current exchange rate between euros and other currencies,en-US,1,1,1,0,1
where is leah remini from,en-US,0,1,1,0,0
what is the mass of a microwave,en-US,0,1,0,0,0
what is the weight of an elephant,en-US,0,1,0,0,0
what is the dollar equivalent in pesos,en-US,0,1,1,0,0
what is the capital of new hampshire,en-US,1,1,1,0,0
what road is longest,en-US,0,1,1,0,0
notify me of the latest news on the stock market,en-US,1,1,1,0,0
what is the value of the yen right now,en-US,0,1,1,0,1
what is apple's stock price,en-US,0,1,1,0,0
how tall was abraham lincoln,en-US,0,1,1,0,0
what is the current exchange rate of euro to dollar,en-US,0,1,1,0,1
how much was airtel sold for sometime back,en-US,0,1,0,0,1
olly tell me about it,en-US,1,1,1,0,0
what is the exchange rate between pound sterling and the u. s. dollar,en-US,0,1,1,0,0
open map,en-US,1,1,0,0,0
what time zone is arizona in,en-US,0,1,1,0,0
what is the yen worth,en-US,0,1,1,0,0
have i made loss in which stocks,en-US,1,1,0,0,0
tell me about chuck norris,en-US,1,1,1,0,0
what movies has casey affleck starred in,en-US,0,1,1,0,0
alexa tell me keywords about usain bolt,en-US,1,1,1,0,0
what is the coldest state in the us,en-US,0,1,1,0,0
where is channing tatum from,en-US,0,1,1,0,0
what is the answer to two times three,en-US,0,1,1,0,0
what is a neutral density filter and would i want a gradient one or a solid one also which would be better in style between the screw on one and the square ones,en-US,1,1,1,0,0
explain bob dylan,en-US,1,1,0,0,0
what video game should i play next,en-US,1,1,0,0,0
has sally fields ever won an academy award,en-US,1,1,0,1,1
list me the stock of apple right now,en-US,1,1,0,0,1
how tall is hulk hogan,en-US,0,1,1,0,0
what is elvis favorite ride,en-US,1,1,1,0,0
tell me the info about india's geography,en-US,1,1,1,0,0
tell me when will indians economy touch that of americas,en-US,1,1,1,0,1
change dollar to rupees rates,en-US,0,1,1,0,0
how much is one u. s. d. in inr,en-US,0,1,1,0,0
what volcanoes are currently active,en-US,1,0,0,0,1
what are the different types of round objects,en-US,0,1,1,0,0
where is the largest volcano in the world,en-US,0,1,1,0,0
please provide geographic information about taiwan,en-US,1,1,0,0,0
convert czk to euro,en-US,1,1,1,0,0
what is the stock price for lexmark,en-US,0,1,1,0,0
when does the super bowl officially start,en-US,0,1,0,0,1
synonym of word,en-US,0,0,0,0,0
will it be good to buy nike stock today,en-US,0,1,0,1,1
please give me information about john abraham lincon,en-US,1,1,1,0,0
what color is the sky,en-US,0,1,1,0,0
have halifax shares gone up today,en-US,0,1,0,1,1
what us state is farthest north,en-US,0,1,1,0,0
how many pesos to an american dollar,en-US,0,1,1,0,0
has the dollar rate increased,en-US,0,1,0,1,0
where is the best vacation spot in california,en-US,0,1,1,0,0
what is the stock price for,en-US,0,1,1,0,0
which part of the country has tropical forest,en-US,0,1,1,0,0
what kinds of sunglasses are considered aviators,en-US,0,0,0,0,0
how many legs does a dog have,en-US,0,1,1,0,0
what is the meaning of,en-US,0,0,0,0,0
give me the exchange rate for dollar in euros,en-US,0,1,1,0,0
africa info,en-US,0,0,0,0,0
exchange rates between dollar and euro,en-US,0,1,1,0,0
what area has at least a thousand miles of open desert,en-US,0,1,1,0,0
find details about u. s. a.,en-US,1,1,0,0,0
i need to know the highest mountain in the world,en-US,1,1,1,0,0
how crowded is los angeles,en-US,0,1,0,0,0
what is the exchange rate between us dollars and yen is,en-US,0,1,1,0,0
please check the exchange rates of the us dollar versus the euro,en-US,1,1,1,0,0
find twitter handle of tom cruise,en-US,1,1,0,0,0
has pound value decreased,en-US,0,1,1,1,0
what is the size of a small cub,en-US,0,1,1,0,0
what region is miami located,en-US,0,1,1,0,0
how far above sea level is denver,en-US,0,1,1,0,0
divide seventy six in two parts,en-US,0,1,1,0,0
where is kansas located,en-US,0,1,1,0,0
what is the square root of one hundred and forty eight thousand five hundred and eighty seven,en-US,0,1,1,0,0
what is the shallowest piece of land,en-US,0,1,1,0,0
what is ten divided by five,en-US,0,1,1,0,0
facebook current stock rate,en-US,0,1,1,0,1
can you tell me about wayne gretszky,en-US,1,1,1,0,0
how much money in us would i need to have a thousand pesos,en-US,1,1,0,0,0
who was john dillinger,en-US,0,0,0,0,0
how many miles is new york city from los angeles,en-US,0,1,1,0,0
what's the highest mountain in italy,en-US,0,1,1,0,0
where is ashwin,en-US,0,1,1,0,0
stock rate of facebook,en-US,0,1,1,0,0
what is by plus y.,en-US,0,1,1,0,0
find the mass of the sun,en-US,1,1,0,0,0
stock details,en-US,0,1,0,0,0
what is the exchange rate for mexico money,en-US,0,1,1,0,0
where is san francisco,en-US,0,1,1,0,0
what is the exchange rate of rupee for dollar,en-US,0,1,1,0,0
siri what is one american dollar in japanese yen,en-US,0,1,1,0,0
where jackie chan currently live,en-US,1,0,0,0,1
can you list the stock on sony,en-US,1,1,0,0,0
what is the exchange rate of u. s. d. to cad,en-US,0,1,1,0,0
how many square miles is the average country on earth,en-US,0,1,1,0,0
how much is one dollar us in canadian,en-US,0,1,1,0,0
where is,en-US,0,0,0,0,0
how many songs did michael jackson write,en-US,1,1,1,0,0
something,en-US,0,0,0,0,0
how far does my dollar go in japan,en-US,0,1,0,0,0
what is the current stock price for amazon,en-US,0,1,1,0,1
how much is one dollar in euros,en-US,0,1,1,0,0
where is the worlds highest falls,en-US,0,1,1,0,0
where is located the biggest waterfall in the world,en-US,0,1,1,0,0
what is the total number of islands in the united states,en-US,0,1,1,0,0
how tall is a giraffe,en-US,0,1,1,0,0
where is raleigh,en-US,0,1,1,0,0
abdul k. a. l. a. m. president,en-US,1,0,1,0,0
which continent has highest growth of cotton and what is average production,en-US,0,1,1,0,0
what is the exchange rate for the english pound and u. s. dollar,en-US,0,1,1,0,0
who built the prado museum,en-US,1,1,0,0,0
where is the hottest desert located,en-US,0,1,1,0,0
how strong is the dollar compared to the peso,en-US,0,1,1,0,0
how many meetings did mahatma gandhi undertake,en-US,1,0,0,0,0
what year did george clooney start acting,en-US,1,1,0,0,1
convert currency calculator,en-US,0,1,0,0,0
how many people live in takjistan,en-US,1,0,0,0,0
where is statue of liberty,en-US,0,1,1,0,0
what is the square root of ninety seven,en-US,0,1,1,0,0
what new movie is jennifer lawrence working on,en-US,1,1,0,0,0
is colombo on the coast of sri lanka,en-US,0,1,1,1,0
what is i. b. m. stock at,en-US,0,1,1,0,0
tell me the exchange rate of ten dollar to euro,en-US,1,1,1,0,0
what is skynet,en-US,0,0,0,0,0
how's microsoft's stock,en-US,0,0,0,0,0
how did george rogers clark die,en-US,1,1,0,0,0
how tall is micheal jackson,en-US,0,1,1,0,0
what's my stock fluctuations,en-US,0,1,0,0,0
which bank will give better rate for currencies i have,en-US,1,1,1,0,0
tell me who the thirty second president is,en-US,1,1,1,0,0
tell me the highest mountain in the world,en-US,1,1,1,0,0
how much is ten u. s. d. in indian rupees,en-US,0,1,1,0,0
please let me know the exchange rate between indian rupees and us,en-US,1,1,1,0,0
what's the stock price for tesco,en-US,0,1,1,0,0
who is obama,en-US,0,0,0,0,0
show me share price of tata,en-US,1,1,1,0,0
is warren buffet is investing in my listed stocks,en-US,1,1,1,1,0
celeb info,en-US,0,0,1,0,0
what is the circumference of the earth,en-US,0,0,0,0,0
what is the capital of jordan,en-US,1,1,1,0,0
i want some information on john lennon,en-US,1,1,1,0,0
what is six divided by two,en-US,0,1,1,0,0
calculate a close integral of exponential function from zero to five,en-US,1,1,0,0,0
is i. b. m. up today,en-US,0,1,0,1,1
give the stock price details of motorolla,en-US,0,1,1,0,0
what is three plus four,en-US,0,1,1,0,0
how many oceans are there,en-US,0,1,1,0,0
mean,en-US,0,0,0,0,0
if a pencil cost four dollars and a book ten dollars cost how much i should pay if i buy two pencil and three book,en-US,1,1,1,0,0
how old is clint eastwood,en-US,0,0,0,0,0
tell me about new york,en-US,1,1,1,0,0
how much can chris helmsworth bench press,en-US,1,1,0,0,0
tell me about the stock for shell,en-US,1,1,1,0,0
where in the world is carmen san diego,en-US,0,1,1,0,0
details on person,en-US,0,1,0,0,0
stock price for gss energy,en-US,0,1,1,0,0
what is a calone worth compared to a u. s. dollar,en-US,0,1,1,0,0
what is robin williams birthday,en-US,0,1,0,0,1
what is twelve plus one hundred and ninety six,en-US,0,1,1,0,0
how long is the nile river,en-US,0,1,1,0,0
does kim kardashian wear converse,en-US,1,1,0,1,0
search on his locality,en-US,1,1,0,0,0
who was in the beatles,en-US,0,1,1,0,0
where is los angeles,en-US,0,1,1,0,0
what city does anthony keidis live in,en-US,1,0,0,0,0
what's the exchange rate between czk and euro,en-US,0,1,1,0,0
dollar rupees exchange rate,en-US,0,1,1,0,0
tell me the latest stock of pepsi,en-US,1,1,1,0,0
tell me why bill bur is a better comedian than iliza schleshinger,en-US,1,1,1,0,0
what is angelina jolie's birthday,en-US,0,1,0,0,1
show conversion rate of u. s. d. and euro,en-US,1,1,1,0,0
what is the sixteenth president,en-US,1,0,1,0,0
i need the stock price for amazon,en-US,1,1,1,0,0
how many bases has nick swisher stolen in his career,en-US,1,1,1,0,0
what is the home city of the bolshoi theater,en-US,0,1,1,0,0
alexa what are amd stock prices,en-US,0,1,1,0,0
who is janet jackson currently dating or married to,en-US,1,1,1,0,1
what year was chuck norris born,en-US,0,1,0,0,1
who is napoleon hill,en-US,0,0,0,0,0
what is burmuda tiangle,en-US,0,0,0,0,0
exchange euro to dollar,en-US,1,1,0,0,0
what t. v. show is jennifer aniston on,en-US,0,1,0,0,0
calculator,en-US,0,0,0,0,0
what is the exchange rate of euro and dollar,en-US,0,1,1,0,0
where is yellowstone park located,en-US,0,1,1,0,0
exchange rate with these currencies,en-US,0,1,1,0,0
does selena gomez has a scandal,en-US,1,0,0,1,0
how much does the f. flat stock cost,en-US,0,1,1,0,0
exchange rate from cad to u. s. d.,en-US,0,1,1,0,0
tell me about narendra modi,en-US,1,1,1,0,0
what is the longest day of the year,en-US,0,1,1,0,0
what is the us dollar and euro exchange rate,en-US,0,1,1,0,0
longest river in the world,en-US,0,1,1,0,0
alexa amd's current stock prices,en-US,0,1,1,0,1
where is justin bieber's home base,en-US,0,1,1,0,0
who was appointed as deputy centimeter of uttar pradesh,en-US,1,1,1,0,0
how old is mariah carey,en-US,0,0,0,0,0
how much is twelve divided by four,en-US,0,1,1,0,0
how much does the average car weigh,en-US,0,1,0,0,0
find exchange rate for u. s. d. to dollar,en-US,1,1,1,0,0
olly find me the perfect girlfriend,en-US,1,1,1,0,0
what is the root of six hundred and twenty five,en-US,0,1,1,0,0
when is shakira's birthday,en-US,0,1,0,0,1
look up what this word means,en-US,1,1,1,0,0
is there any affairs of ileana d'cruz,en-US,1,1,0,0,0
what is kevin spacey doing,en-US,1,1,0,0,0
show me the exchange rate between czk and dollar,en-US,1,1,1,0,0
how big is the cosmos,en-US,0,1,1,0,0
how to calculate trigonametry,en-US,0,1,0,0,0
what does one plus,en-US,0,1,1,0,0
where was president madison born,en-US,1,1,1,0,0
where is the prime meridian,en-US,0,1,1,0,0
what is the capital of china,en-US,1,1,1,0,0
i want to know how many feet are in a mile,en-US,1,1,1,0,0
olly is a dollar worth more or less in brazil,en-US,0,1,1,0,0
what was the stock price for google yesterday,en-US,0,1,1,0,1
define this object,en-US,1,1,0,0,0
where did mahatma gandhi born,en-US,0,1,0,0,0
is elizabeth taylor still alive,en-US,1,0,0,1,0
give me the opening stock price of apple,en-US,1,1,1,0,1
where is justin beiber from,en-US,0,1,1,0,0
is it true that asia has only two countries,en-US,0,1,1,1,0
what is the result of two by two,en-US,0,1,1,0,0
what is worth more a u. s. d. or aus,en-US,0,1,1,0,0
tell me about donald trumps early life,en-US,1,1,1,0,0
google michael jackson,en-US,1,1,0,0,0
please tell who invented telephone and what is the date,en-US,1,1,1,0,0
find geographic details of this place,en-US,1,1,0,0,0
do you know math,en-US,1,1,0,1,0
find out for me what the topic is of each oswald chambers book,en-US,1,1,0,0,0
when you ask it to schedule an appointment that it can email the specific person and provide available dates from your calendar,en-US,1,1,1,0,1
tell me one euro equals dollars,en-US,1,1,1,0,0
where is it hottest on earth,en-US,0,1,1,0,0
what city was elvis born,en-US,0,1,0,0,0
what are the current stock prices for google,en-US,0,1,1,0,1
how far is california from georgia,en-US,0,1,1,0,0
what is the composition of our nails,en-US,0,1,1,0,0
current currency rate,en-US,0,1,1,0,1
what is the location of moldova,en-US,0,1,1,0,0
achievements of sachin tendulkar,en-US,1,1,0,0,0
exchange rate dirham and rupees,en-US,0,1,1,0,0
what's the one night with paris,en-US,0,0,0,0,0
what is the population of los angeles,en-US,0,1,1,0,0
what is the plot of the most recent will smith movie,en-US,0,0,1,0,1
show me the stock prices of target today,en-US,1,1,1,0,1
how are the top ten stocks at the moment,en-US,0,1,1,0,1
how old is emma watson newest boyfriend,en-US,1,1,1,0,0
ask my brokers,en-US,1,0,1,0,0
how many months in a year,en-US,0,1,1,0,0
how many inches make one feet,en-US,0,1,1,0,0
please tell me news related to the stock market,en-US,1,1,1,0,0
is the dow up or down,en-US,0,1,0,0,0
who is the prime minister of india,en-US,1,1,1,0,0
how much is a dollar worth compared to a yen,en-US,0,1,1,0,0
how much does stock cost in walmart,en-US,0,1,1,0,0
what is the longest river on earth,en-US,0,1,1,0,0
what is the financial capital of canada,en-US,1,1,1,0,0
where is montana,en-US,0,1,1,0,0
what year did elvis die,en-US,0,1,0,0,1
depending on the role you are going for this will affect your answer,en-US,1,1,1,0,0
tell what is the value of sin thirty,en-US,0,1,1,0,0
how do i,en-US,0,0,0,0,0
how many floors does the empire state building have,en-US,0,1,1,0,0
who is the prettiest actress in the world in this century,en-US,1,1,1,0,1
what is the price of euro to u. s. d.,en-US,0,1,1,0,0
what is twenty percent of one hundred and twenty,en-US,0,1,1,0,0
what is the total number of oceans in the world,en-US,0,1,1,0,0
what is the closing price of axle company,en-US,0,1,0,0,1
please describe that object for me,en-US,1,1,0,0,0
what is exchange for the us and euro,en-US,0,1,1,0,0
how many kilometers are in a mile,en-US,0,1,1,0,0
is jackie chan married,en-US,0,1,0,1,0
what are the chances of the stock market closing below the two hundred moving average in the next fourteen days,en-US,0,1,1,0,1
what is ten u. s. d. in euros,en-US,0,1,1,0,0
why has politics become so polarized recently,en-US,1,1,0,0,1
when was the bolshoi theater constructed,en-US,0,1,0,0,1
where is burmuda triangle,en-US,0,1,1,0,0
google i. b. m. stock prices,en-US,1,1,1,0,0
tell me when the next big earthquake will hit california,en-US,1,1,1,0,1
i would like my to tell me the trend on foreign exchange rates,en-US,1,1,1,0,0
show me the stock price for google,en-US,1,1,1,0,0
currency rate of indian rupee and singapore dollar,en-US,0,1,1,0,0
how much long is atlanta,en-US,0,1,1,0,0
tell me about fjords,en-US,1,1,1,0,0
has my stock increased in value,en-US,0,1,1,1,0
what's the highest mountain range in the world,en-US,0,1,1,0,0
earth info,en-US,0,0,0,0,0
what movies has emma watson acted in,en-US,1,0,0,0,0
who is president of poland,en-US,1,1,1,0,0
what is twenty three times fifty two,en-US,0,1,1,0,0
where do most celebrities hang out,en-US,0,1,0,0,0
find me some celebrities that are capricorns,en-US,1,1,1,0,0
when is the birth date of taylor lautner,en-US,0,1,0,0,1
can cats eat fish,en-US,1,1,0,1,0
where is obama from,en-US,0,1,1,0,0
update me on stock price of this company stock,en-US,1,1,1,0,0
tell me the best exchange rate,en-US,1,1,1,0,0
please give me address of salman khan apartment,en-US,0,1,1,0,0
is california between nevada and new york,en-US,0,1,1,1,0
stock exchange rates,en-US,0,1,1,0,0
who is the current president of united states,en-US,1,1,1,0,1
today's closing price for google,en-US,0,1,1,0,1
how tall is jobe bryant,en-US,0,1,1,0,0
what exchange rate does the us dollar and the euro have,en-US,0,1,1,0,0
how much is apple stock worth,en-US,0,1,1,0,0
what is the exchange rate from english currency to yen,en-US,0,1,1,0,0
what's thirteen plus fourteen,en-US,0,1,1,0,0
what is the distance to the moon,en-US,0,1,0,0,0
and the pound is doing how badly against the euro,en-US,0,1,1,0,0
how big is the tower of london,en-US,0,1,1,0,0
what happened to the dow jones today,en-US,0,0,0,0,1
tell me about lisa ann,en-US,1,1,1,0,0
how long has princess kate been pregnant,en-US,0,1,0,0,0
solve math issue,en-US,1,1,0,0,0
what voices has alan tudek played,en-US,1,1,0,0,0
meaning of,en-US,0,0,0,0,0
exchange rates,en-US,0,1,1,0,0
what is the geographic region of madagascar,en-US,0,0,0,0,0
what is the tallest mountain in tucson,en-US,0,1,1,0,0
what are amd stock prices,en-US,0,1,1,0,0
where did rama go on his final journey,en-US,1,1,0,0,0
what is terranova stock going for,en-US,0,1,1,0,0
exchange rate of yan with dollar,en-US,0,1,1,0,0
where is artic ocean,en-US,0,1,1,0,0
when is president's day,en-US,0,1,1,0,0
tell me about donald trump,en-US,1,1,1,0,0
check stock price for dinky donuts,en-US,1,1,1,0,0
object identifier,en-US,0,1,0,0,0
where is steven spielberg living,en-US,1,0,0,0,0
siri please check exchange rates,en-US,1,1,1,0,0
siri what is the elevation of denver colorado,en-US,0,1,0,0,0
what's the price of ge right now,en-US,0,1,1,0,1
